City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tigzirt,DZ,36.8886,4.1198,54.66,79,40,7.58,scattered clouds
79,Caravelas,BR,-17.7125,-39.2481,74.25,82,10,4.03,clear sky
80,Ilhabela,BR,-23.7781,-45.3581,70.99,86,100,5.53,overcast clouds
81,Urbano Santos,BR,-3.2078,-43.4036,72.75,97,80,2.57,broken clouds
82,Kaitangata,NZ,-46.2817,169.8464,58.35,78,100,6.33,overcast clouds
83,Husavik,IS,66.0449,-17.3389,42.55,81,14,5.17,few clouds
84,Lavrentiya,RU,65.5833,-171.0,29.3,81,99,11.97,overcast clouds
85,New Norfolk,AU,-42.7826,147.0587,63.88,72,100,1.99,overcast clouds
86,Jalu,LY,29.0331,21.5482,73.96,22,99,10.8,overcast clouds
87,Itarema,BR,-2.9248,-39.9167,76.19,88,85,6.53,overcast clouds
88,Geraldton,AU,-28.7667,114.6,75.61,35,0,14.97,clear sky
89,Penalva,BR,-3.2942,-45.1736,72.88,97,100,3.06,overcast clouds
90,Fairhope,US,30.523,-87.9033,75.76,65,100,10.0,overcast clouds
91,Moree,AU,-29.4667,149.85,71.62,53,0,8.05,clear sky
92,Mahebourg,MU,-20.4081,57.7,75.49,88,40,8.05,scattered clouds
93,Irtyshskiy,RU,58.3333,68.1333,39.99,48,1,8.05,clear sky
94,Hidalgo,MX,20.5,-99.0,66.42,73,20,5.1,few clouds
95,Nanakuli,US,21.3906,-158.1547,82.35,63,0,13.8,clear sky
96,Sitka,US,57.0531,-135.33,51.69,54,75,9.22,broken clouds
97,Corn Island,NI,12.1694,-83.0418,81.21,81,99,14.85,overcast clouds
98,Vila Do Maio,CV,15.1333,-23.2167,70.59,80,8,13.47,clear sky
99,Winnemucca,US,40.973,-117.7357,60.85,44,100,5.75,overcast clouds
100,Bredasdorp,ZA,-34.5322,20.0403,53.47,90,7,4.03,clear sky
101,Muros,ES,42.7762,-9.0603,55.83,87,73,4.05,broken clouds
102,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,16.11,scattered clouds
103,Port Hardy,CA,50.6996,-127.4199,55.58,62,75,8.05,broken clouds
104,Opuwo,NA,-18.0607,13.84,64.17,42,7,5.17,clear sky
105,Qaanaaq,GL,77.484,-69.3632,5.67,74,18,6.89,few clouds
106,Mandal,IN,25.45,74.5667,93.4,23,0,12.15,clear sky
107,Kodiak,US,57.79,-152.4072,40.51,87,100,25.32,moderate rain
108,Shuyskoye,RU,59.3736,41.0305,30.34,70,97,6.76,overcast clouds
109,Yerbogachen,RU,61.2767,108.0108,39.78,69,93,6.58,overcast clouds
110,Abbeville,FR,50.1,1.8333,40.5,90,100,2.37,overcast clouds
111,Castro,BR,-24.7911,-50.0119,57.29,98,84,3.29,broken clouds
112,Namibe,AO,-15.1961,12.1522,74.59,85,86,4.0,overcast clouds
113,Bako,ET,5.7833,36.5667,60.87,91,87,2.57,overcast clouds
114,Boali,CF,4.8005,18.1275,71.19,84,94,3.87,overcast clouds
115,Mabaruma,GY,8.2,-59.7833,72.36,89,71,2.62,broken clouds
116,Poum,NC,-20.2333,164.0167,76.91,75,9,5.26,clear sky
117,Salalah,OM,17.0151,54.0924,84.29,84,20,2.3,few clouds
118,Mangaldai,IN,26.4333,92.0333,79.86,62,94,9.75,overcast clouds
119,Marawi,PH,7.9986,124.2928,81.99,62,46,4.14,scattered clouds
120,Callaway,US,30.153,-85.5699,73.9,91,40,8.05,scattered clouds
